0,1Znvqo7sh8RBJHATHmr5zw,IBgjj5VBu5JJvKgo9EzKrg,Super dope spot. Great food and drinks. No drinks specials during the pandemic though. BUUUUUT it's still worth it! The peppercorn burger is incredible!,5
1,c_qSCKPSg-bOqGxCcGzBNQ,IBgjj5VBu5JJvKgo9EzKrg,I've gone to three monkeys a couple of times in the past few weeks and all without a reservation. We've been greeted right away and seated promptly with...,5
2,x9EtgSP2lmxsUnDZtA8ffQ,IBgjj5VBu5JJvKgo9EzKrg,This place is doing a wonderful job with Covid precautions.  The hostess Claire from Nebraska and the bartender Nikki from Ireland both did an amazing job...,5
0,h_z4G7mS8jCCs0_vcsRyuQ,3Uzy1yp1SXq3FG-i2hEcyA,"This place must be protected at all costs. Amazing bartenders, great drinks & they are dog friendly. They have done a killer job through this pandemic and...",5
1,zJ87Lg1ofp1_LaJt0qAw5w,3Uzy1yp1SXq3FG-i2hEcyA,"The servers at Luckydog were obnoxiously rude.  With no menu on site, both bartenders were angry when we asked for drinks they didn't have on the menu....",1
2,HuY--033n3jn3dHJ6JJt9g,3Uzy1yp1SXq3FG-i2hEcyA,Fun and dog friendly bar. If you don't like dogs then don't come here. Luckydog is one of the best bars in Williamsburg. Happy hour is a good deal. They let...,4
0,6Cmm5DaC9kU_L6rT5QVEdQ,SDgXhdIDqhOo2E3t8e15Eg,Totally love this place. Had a great experience my first time here. The drinks are so good. The outdoor seating area is decorated really cool. The best...,5
1,SfAWCNMhrcSXV6r0AKpO5g,SDgXhdIDqhOo2E3t8e15Eg,Today was my first time I had ordered from Pint luckily they're doing curbside cocktails I must say I'm definitely making a return. Delicious drinks and...,5
2,Col9J3WqRDyKMOelSYTjiA,SDgXhdIDqhOo2E3t8e15Eg,"It's time to break the stereotype. I love beer and I love this bar. This ""gay bar"" is super accepting and everyone has a good time.

Their beer offerings...",5
0,ssYpofssO3e2gzWbMLF1LA,GXh9YpX4v8Wemrq-SPDPhA,"Ok guys coolest date day/night idea! Take your date to e's BAR for board games and s'mores! The bar is so cute, clean and has safety measures in place....",5
1,Uf0eYDbD0C6S9kXDfoKx4w,GXh9YpX4v8Wemrq-SPDPhA,"Solid, welcoming neighborhood bar.

Dropped by on one of those busy NYC happy hour nights when it was impossible to get in anywhere else, and it worked out...",4
2,7JYiTEXEtkOC-xrJqk3L_w,GXh9YpX4v8Wemrq-SPDPhA,"Visited E's for the first time today and I had a great time. Starting off with the obvious, all staff is masked, the seats have plastic borders between...",4
0,ywXbe2ifTdSUM6DNWuqtTw,XpYm_l-zKI3Rl4E8WODIDA,"Beers at cheap prices? YES!

Happy Hour with $1.00 off beers and drinks!? YES!

Food like Frito Pie for $5.00?! HELL YES!

This is a place I'd visit...",5
1,D8pAsAeafxxmZcw3Ky5n4A,XpYm_l-zKI3Rl4E8WODIDA,"Hole in the wall.  It's always a nice feeling, as a native New York'er, to be summed up/judged by a gentrificated (white) bartender, even before I sit down....",1
2,SNy3qY3j25CZZ1ztE4hZEw,XpYm_l-zKI3Rl4E8WODIDA,"Super chill bar in Brooklyn. We came here super late night and the bartenders were so friendly. Cold beers and yes, it is correct, unlimited cheese balls....",5
